id,lottery_date,times,num_set,one_unit,one_amount,two_unit,two_amount,three_unit,three_amount,four_unit,four_amount,five_unit,five_amount,sales,carryover,created_at,updated_at
1100,2016-10-06,1112,"06,09,15,19,39,42,34",0,0.0,1,98295100.0,218,541000.0,10804,9600.0,171416,1000.0,1335408200.0,109217758,2016-10-06 10:55:03.000000,2016-10-06 10:55:03.000000
1112,2016-11-17,1124,"01,16,24,28,40,42,33",1,120119000.0,2,54053100.0,192,675600.0,8881,12800.0,146276,1000.0,1374811000.0,0,2016-11-17 10:55:03.000000,2016-11-17 10:55:03.000000
1130,2017-01-26,1143,"19,21,31,39,42,43,29",1,126349600.0,5,22742700.0,141,967700.0,7737,15500.0,138227,1000.0,1411375400.0,0,2017-01-26 10:55:03.000000,2017-01-26 10:55:03.000000
1162,2017-05-18,1175,"02,04,06,21,27,37,10",1,469005400.0,13,5681500.0,357,223400.0,16235,5100.0,244460,1000.0,1619045000.0,0,2017-05-18 10:55:03.000000,2017-05-18 10:55:03.000000
1192,2017-08-31,1205,"12,25,26,32,35,42,02",0,0.0,12,7372300.0,229,417200.0,10902,9200.0,186995,1000.0,1704100600.0,554757354,2017-08-31 10:55:03.000000,2017-08-31 10:55:03.000000
955,2015-09-28,1006,"07,08,16,31,32,33,12",1,124749700.0,3,37424500.0,275,489900.0,11417,10400.0,182588,1000.0,1495973000.0,0,2016-04-30 23:08:37.000000,2016-04-30 23:08:37.000000
956,2015-09-24,1005,"05,13,20,24,25,27,42",1,111149300.0,5,20006700.0,267,449500.0,13211,8000.0,205891,1000.0,1428900000.0,0,2016-04-30 23:08:37.000000,2016-04-30 23:08:37.000000
957,2015-09-21,1004,"03,21,23,24,27,32,36",1,108151300.0,7,13905000.0,245,476700.0,11895,8600.0,191147,1000.0,1369935200.0,0,2016-04-30 23:08:37.000000,2016-04-30 23:08:37.000000
958,2015-09-17,1003,"13,22,26,34,38,43,42",2,136053200.0,6,21185800.0,261,584400.0,12914,10400.0,200786,1000.0,1680526400.0,0,2016-04-30 23:08:37.000000,2016-04-30 23:08:37.000000
959,2015-09-14,1002,"08,14,22,25,27,41,11",0,0.0,11,10121900.0,317,421400.0,14901,7900.0,222179,1000.0,1574897000.0,130866503,2016-04-30 23:08:37.000000,2016-04-30 23:08:37.000000
960,2015-09-10,1001,"09,12,15,16,18,35,02",1,400000000.0,5,24985100.0,256,585500.0,14036,9400.0,231019,1000.0,1726454600.0,7153015,2016-04-30 23:08:38.000000,2016-04-30 23:08:38.000000
961,2015-09-07,1000,"01,15,21,22,26,29,37",0,0.0,8,16056900.0,303,508700.0,13791,9800.0,211620,1000.0,1717617200.0,268345233,2016-04-30 23:08:38.000000,2016-04-30 23:08:38.000000
962,2015-09-03,999,"08,15,17,30,32,36,43",0,0.0,5,22610600.0,245,553700.0,11484,10400.0,181305,1000.0,1500691600.0,125615901,2016-04-30 23:08:38.000000,2016-04-30 23:08:38.000000
1033,2016-06-06,1077,"01,04,09,23,30,36,05",2,197901400.0,13,9762200.0,321,474400.0,15244,8800.0,231542,1000.0,1746870800.0,0,2016-06-06 10:55:03.000000,2016-06-06 10:55:03.000000
1041,2016-07-04,1085,"03,20,21,30,34,35,23",1,120330700.0,4,27074100.0,264,492200.0,10882,10500.0,158671,1000.0,1404205400.0,0,2016-07-04 10:55:03.000000,2016-07-04 10:55:03.000000
1101,2016-10-10,1113,"01,12,14,26,34,41,06",1,232610100.0,15,7403400.0,216,616900.0,10805,10800.0,172551,1000.0,1461806600.0,0,2016-10-10 10:55:02.000000,2016-10-10 10:55:02.000000
1113,2016-11-21,1125,"02,16,19,20,24,36,27",0,0.0,7,14989700.0,201,626400.0,10191,10800.0,165665,1000.0,1387036400.0,116587730,2016-11-21 10:55:02.000000,2016-11-21 10:55:02.000000
1131,2017-01-30,1144,"07,13,14,33,39,43,29",1,124530000.0,3,37358600.0,208,646500.0,10199,11600.0,164448,1000.0,1453742200.0,0,2017-01-30 10:55:03.000000,2017-01-30 10:55:03.000000
1163,2017-05-22,1176,"02,09,18,23,29,32,34",2,113683200.0,5,13642400.0,343,214700.0,12329,6300.0,178351,1000.0,1389864400.0,0,2017-05-22 10:55:03.000000,2017-05-22 10:55:03.000000
1193,2017-09-04,1206,"11,19,20,26,32,33,22",3,298063900.0,9,11314800.0,328,335200.0,15141,7600.0,236909,1000.0,2009699400.0,0,2017-09-04 10:55:03.000000,2017-09-04 10:55:03.000000
963,2015-10-29,1015,"09,14,20,23,27,32,22",1,400000000.0,2,67680500.0,318,510700.0,14713,9700.0,229339,1000.0,1824051400.0,18724752,2016-04-30 23:08:49.000000,2016-04-30 23:08:49.000000
964,2015-10-26,1014,"02,03,09,19,40,42,06",0,0.0,2,62646500.0,193,779000.0,11694,11300.0,205037,1000.0,1672281600.0,268322168,2016-04-30 23:08:49.000000,2016-04-30 23:08:49.000000
965,2015-10-22,1013,"03,20,36,38,39,41,22",0,0.0,3,38731600.0,105,1327900.0,7587,16200.0,143472,1000.0,1447123400.0,129106482,2016-04-30 23:08:49.000000,2016-04-30 23:08:49.000000
966,2015-10-19,1012,"09,11,19,22,27,38,02",1,108211900.0,14,6956400.0,361,323700.0,16548,6200.0,229783,1000.0,1456323000.0,0,2016-04-30 23:08:49.000000,2016-04-30 23:08:49.000000
967,2015-10-15,1011,"23,26,27,29,30,43,06",1,129960800.0,4,29240900.0,172,816000.0,8546,14400.0,155577,1000.0,1481490000.0,0,2016-04-30 23:08:49.000000,2016-04-30 23:08:49.000000
968,2015-10-12,1010,"06,12,16,24,25,37,17",2,196662400.0,11,9999400.0,517,255300.0,20647,5600.0,275657,1000.0,1680653400.0,0,2016-04-30 23:08:50.000000,2016-04-30 23:08:50.000000
969,2015-10-08,1009,"03,19,34,36,40,43,28",0,0.0,4,33118900.0,124,1282000.0,8302,16800.0,152322,1000.0,1624883600.0,271108458,2016-04-30 23:08:50.000000,2016-04-30 23:08:50.000000
970,2015-10-05,1008,"11,14,16,21,24,39,36",0,0.0,3,37173200.0,184,727300.0,9773,12000.0,171520,1000.0,1464056000.0,123911966,2016-04-30 23:08:50.000000,2016-04-30 23:08:50.000000
971,2015-10-01,1007,"03,08,17,25,28,43,42",1,113492400.0,5,20428400.0,349,351200.0,14109,7600.0,209079,1000.0,1456461200.0,0,2016-04-30 23:08:50.000000,2016-04-30 23:08:50.000000
1034,2016-06-09,1078,"03,12,20,33,35,41,34",1,115777800.0,3,34733000.0,199,628300.0,9609,11400.0,157806,1000.0,1362494000.0,0,2016-06-09 10:55:03.000000,2016-06-09 10:55:03.000000
1042,2016-07-07,1086,"03,07,09,31,38,43,29",0,0.0,5,20635100.0,176,703400.0,10120,10700.0,177784,1000.0,1396953600.0,114640897,2016-07-07 10:55:03.000000,2016-07-07 10:55:03.000000
1102,2016-10-13,1114,"02,07,09,28,38,39,26",0,0.0,8,11980300.0,190,605300.0,10923,9200.0,174790,1000.0,1319092000.0,106492819,2016-10-13 10:55:02.000000,2016-10-13 10:55:02.000000
1114,2016-11-24,1126,"04,05,26,30,34,42,27",2,121776000.0,6,19044400.0,163,841200.0,9404,12800.0,166812,1000.0,1480269000.0,0,2016-11-24 10:55:02.000000,2016-11-24 10:55:02.000000
1132,2017-02-02,1145,"01,04,15,18,25,28,36",0,0.0,3,33835800.0,269,452800.0,12030,8900.0,192292,1000.0,1412992200.0,112787035,2017-02-02 10:55:02.000000,2017-02-02 10:55:02.000000
1164,2017-05-25,1177,"02,05,21,22,23,38,36",1,200000000.0,7,9195400.0,267,260300.0,12979,5600.0,196818,1000.0,1374910800.0,14553105,2017-05-25 10:55:03.000000,2017-05-25 10:55:03.000000
1194,2017-09-07,1207,"06,16,17,20,22,43,34",0,0.0,6,12518700.0,142,571200.0,9054,9400.0,161484,1000.0,1452888000.0,250367098,2017-09-07 10:55:03.000000,2017-09-07 10:55:03.000000
